Population Name Reported,count
Ki67+ HLA-DR- Central Memory CD4+ T cells,399
EOMES+ t-Bet+ Effector CD4+ T cells,399
EOMES- t-Bet+ Effector CD4+ T cells,399
Ki67+ HLA-DR- Naive CD4+ T cells,399
Ki67+ HLA-DR+ Naive CD4+ T cells,399
Ki67- HLA-DR+ Naive CD4+ T cells,399
dendritic cell,386
CD28-CD8+ T cells,383
CD4+CD28- T cells,383
T follicular helper cell,371
ICOS+ T follicular helper cell,371
plasmacytoid dendritic cell,371
myeloid dendritic cell,371
neutrophil,371
CD8+ T cell,371
CD4+ T cell,371
SLAN+ monocyte,371
T cell,371
Viable/Singlets/Lymphs/CD3+,348
Viable/Singlets/Lymphs,348
CD16- monocytes,331
CD94+CD4+ T cells,331
CD16+ monocytes,331
CD4+CD27+ T cells,331
CD4+CD28+ T cells,331
CD4+CD27- T cells,331
CD161-CD4+ T cells,331
non-T lymphocytes,331
CD85j-CD4+ T cells,331
CD161+ NK cells,331
PD1+CD8+ T cells,331
PD1+CD4+ T cells,331
CD94-CD4+ T cells,331
HLADR- NK cells,331
CD94- NK cells,331
CD94+ NK cells,331
CD161- NK cells,331
CD20- CD3- lymphocytes,331
CD94+CD8+ T cells,331
CD85j-CD8+ T cells,331
CD27-CD8+ T cells,331
CD27+CD8+ T cells,331
CD161-CD8+ T cells,331
CD94-CD8+ T cells,331
NK cell,324
QC2_CD4_pLY,324
CD11b- CD16- monocyte,309
CD11b+ CD16+ monocyte,309
CD11b+ CD16- monocyte,309
CX3CR1- CD16- monocyte,309
CX3CR1- CD16+ monocyte,309
CX3CR1+ CD16+ monocyte,309
CX3CR1+ CD16- monocyte,309
ICOS+ Tfh17 CD4+ T cell,309
CD14lo CD16- monocyte,309
CD16- monocyte,309
CD16+ monocyte,309
Tfh2 CD4+ T cell,309
ICOS+ Tfh2 CD4+ T cell,309
Tfh17 CD4+ T cell,309
CD11b- CD16+ monocyte,309
ICOS+ Tfh1/17 CD4+ T cell,309
HLA-DRhi CD16- monocyte,309
CD2+ CD1c+ myeloid dendritic cell,309
CD1c+ myeloid dendritic cell,309
CD86- myeloid dendritic cell,309
CD86+ myeloid dendritic cell,309
CD2+ myeloid dendritic cell,309
CD2- myeloid dendritic cell,309
CD86- plasmacytoid dendritic cell,309
CD86+ plasmacytoid dendritic cell,309
CD2+ plasmacytoid dendritic cell,309
CD2- plasmacytoid dendritic cell,309
SLAN+ CD16+ monocyte,309
SLAN- CD16+ monocyte,309
SLAN- CD16- monocyte,309
QCGran,309
eosinophil,309
ICOS+ T cell,309
CD20- B cell,309
CD20+ B cell,309
IgD- CD27- B cell,309
IgD- memory B cell,309
IgD+ memory B cell,309
naive B cell,309
ICOS+ CD4+ T cell,309
transitional B cell,309
Tfh1 CD4+ T cell,309
ICOS+ Tfh1 CD4+ T cell,309
CD138+ B cell,309
CD27+ B cell,309
Tfh1/17 CD4+ T cell,309
B cell,309
CD2- CD1c+ myeloid dendritic cell,309
CD86+ CD1c+ myeloid dendritic cell,309
HLA-DRhi CD16+ monocyte,309
CD86- CD1c+ myeloid dendritic cell,309
HLA-DRlo CD16+ monocyte,309
HLA-DRlo CD16- monocyte,309
ICOS+ CD8+ T cell,309
CXCR5+ CD8+ T cell,309
CXCR3+ CD8+ T cell,309
CCR6+ CD8+ T cell,309
ICOS+ Th2 CD4+ T cell,309
Th2 CD4+ T cell,309
ICOS+ Th17 CD4+ T cell,309
Th17 CD4+ T cell,309
ICOS+ Th1/17 CD4+ T cell,309
Th1/17 CD4+ T cell,309
CD14lo CD16+ monocyte,309
monocyte,309
CD86- BDCA3+ myeloid dendritic cell,309
ICOS+ Th1 CD4+ T cell,309
CD86+ CD16- monocyte,309
Th1 CD4+ T cell,309
ICOS+ T helper cell,309
T helper cell,309
CD86+ CD16+ monocyte,309
CD86+ BDCA3+ myeloid dendritic cell,309
CD86- CD16+ monocyte,309
CD86- CD16- monocyte,309
SLAN+ CD16- monocyte,309
CD2+ BDCA3+ myeloid dendritic cell,309
CD2- BDCA3+ myeloid dendritic cell,309
BDCA3+ myeloid dendritic cell,309
CD40+ monocyte,309
CD2n_CD1c,306
CD86p_CD14pCD16p,306
CD2p_CD1c,306
CD16pCD11bn_Xartefact,306
CD62Lp_CD14pCD16n,306
CD40p_CD14pCD16n,306
CD11bp_CD14pCD16n,306
CD62Lp_CD14pCD16p,306
CD40p_CD14pCD16p,306
CD11bp_CD14pCD16p,306
CD2n_BDCA2,306
CD14dimCD16p,306
CD14p,306
CD16nCD11bp_immature1Neu,306
CD16nCD11bn_immature2Neu,306
CD16pCD11bp_matureNeu,306
CD11bp_CD14dimCD16p,306
Neutros,306
Plasmacell,306
Plasmablast_PC,306
transitionalb_,306
CD27pCD19,306
CD20nCD19p,306
CD20pCD19p,306
CD27nIgDn_B,306
IgDn_memory_B,306
IgDp_memory_B,306
naive_B,306
CD86p_CD14pCD16n,306
dn,306
CD40p_CD14dimCD16p,306
ICOS_CD4,306
CD2p_BDCA2,306
BDCA2,306
ICOS_CD8,306
CD62Lp_CD14dimCD16p,306
ICOS_TH17,306
ICOS_TH2,306
ICOS_TH1,306
CCR6pCXCR3p_nonTFH,306
TH1_nonTFH,306
nonTFH_CD4,306
ICOS_CCR6pCXCR3p_nonTFH,306
TEFF_CD4,306
Naive_CD4,306
CM_CD4,306
ICOS_CCR6pCXCR3p_TFH,306
ICOS_TFH17,306
EM_CD4,306
ICOS_TFH2,306
ICOS_TFH1,306
ICOS_TFH,306
CCR6pCXCR3p_TFH,306
CD86p_CD14dimCD16p,306
CD3+/CD8+,301
CD3+/CD4+,301
CD33+ monocytes,298
Activated CD4 T cell,272
TFH17_ICOS,270
CD86+ plasmablast,269
CD86+ B cell,269
CD86+ CD138+ B cell,269
CD86+ CD20- B cell,269
CD86+ CD20+ B cell,269
CD86+ IgD- CD27- B cell,269
CD86+ IgD- memory B cell,269
CD86+ IgD+ memory B cell,269
CD86+ naive B cell,269
CD86+ transitional B cell,269
Monocytes,267
Viable/Singlets/Lymphs/CD3+/CD8+,261
Viable/Singlets/Lymphs/CD3+/CD4+,261
"ID25, IL22+ of CD161-CD4+ T cells",245
"ID99, IgA+ of IgD-CD27+ memory B cells",245
"ID80, CD19+ of viable CD45+ (Total B cells)",245
"ID40, CD25+ of CD8+ T cells",245
"ID10, HLA-DR+ of CD4+ T cells",245
"ID32, CD127(IL7R)+ of CD4+ T cells",245
"ID31, CD103+ of CD4+ T cells",245
"ID36, CD27+CCR7- of memory CD4+ T cells (Effector memory CD4+ T)",245
"ID37, CD27+CCR7+ of memory CD4+ T cells (Central memory CD4+ T)",245
"ID35, CD45RA- of CD4+ T cells (Total memory CD4+ T)",245
"ID34, CD45RA+ of CD4+ T cells (Naive T)",245
"ID30, CD39+ of CD4+ T cells",245
"ID9, CD38+ of CD4+ T cells",245
"ID33.T1, CD27+ of CD4+ T cells",245
"ID59, CD25hi FoxP3+ of CD4+ T cells (Treg)",245
"ID8, CD25+ of CD4+ T cells",245
"ID2, CD4+ of total T cells",245
"ID3, CD4+CD8+ of total T cells",245
"ID42, HLA-DR+ of CD8+ T cells",245
"ID45, TNFa+ of CD8+ T cells",245
"ID44, CD103+ of CD8+ T cells",245
"ID58, CD27-CCR7- of CD45RA- memory CD8+ T cells (Effector memory CD8+ T)",245
"ID57, CD27+CCR7+ of CD45RA- memory CD8+ T cells (Central memory CD8+ T)",245
"ID87, CD27hi CD38hi of CD20- B cells (Plasmablasts)",245
"ID55, CD27- of CD45RA+CD8+ T cells (EMRA CD8+ T)",245
"ID54, CD27+ of CD45RA+CD8+ T cells (Naive CD8+ T)",245
"ID53, CD45RA+ of CD8+ T cells",245
"ID43, CD39+ of CD8+ T cells",245
"ID41, CD38+ of CD8+ T cells",245
"ID5, CD4-CD8- of total T cells",245
"ID46, IL17A+ of CD8+ T cells (Tc17)",245
"ID51.T2, TNFa+ of CD8+ T cells",245
"ID29.T2, TNFa+ of CD4+ T cells",245
"ID51.T3, TNFa+ of CD8+ T cells",245
"ID50, Perforin+ of CD8+ T cells",245
"ID48, IL2+ of CD8+ T cells",245
"ID49, INFg+ of CD8+ T cells",245
"ID39, CD69+ of CD8+ T cells",245
"ID29.T3, TNFa+ of CD4+ T cells",245
"ID28, IL4+ of CD4+ T cells",245
"ID26, IL2+ of CD4+ T cells",245
"ID7, CD69+ of CD4+ T cells",245
"ID11, CD40+ of CD4+ T cells",245
"ID33.T3, CD27+ of CD4+ T cells",245
"ID17, IL23+ of CD4+ T cells",245
"ID33.T2, CD27+ of CD4+ T cells",245
"ID16, IL22+ of CD4+ T cells",245
"ID15, IL21+ of CD4+ T cells",245
"ID14, IL17+ of CD4+ T cells",245
"ID13, CD196+ of CD4+ T cells",245
"ID24, IL21+ of CD161-CD4+ T cells",245
"ID23, IL17+ of CD161-CD4+ T cells",245
"ID22, CD161- of CD4+ T cells",245
"ID47, IL23R+ of CD8+ T cells",245
"ID21, IL22+ of CD161+CD4+ T cells",245
"ID19, IL17+ of CD161+CD4+ T cells",245
"ID12, CD161+ of CD4+ T cells",245
"ID52.T1, CD27+ of CD8+ T cells",245
"ID56, CD45RA- of CD8+ T cells (CD45RA- memory CD8+ T)",245
"ID4, CD8+ of total T cells",245
"ID100, IgG+ of IgD-CD27+ memory B cells",245
"ID111, IgA+ of Naive B cells",245
"ID110, CD86+ of Naive B cells",245
"ID109, CD80+ of Naive B cells",245
"ID108, CD38+ of Naive B cells",245
"ID107, CD21+ of Naive B cells",245
"ID1, CD3+ of viable CD45+ cells (Total T cells)",245
"ID105, CD86+ of IgD+CD27+ memory B cells",245
"ID104, CD80+ of IgD+CD27+ memory B cells",245
"ID103, CD38+ of IgD+CD27+ memory B cells*",245
"ID102, CD23+ of IgD+CD27+ memory B cells",245
"ID101, IgD+CD27+ of CD20+ B cells* (IgD+CD27+ memory B)",245
"ID98, CD86+ of IgD-CD27+ memory B cells",245
"ID113, IgD-CD27- of CD20+ B cells* (IgD-CD27- memory B)",245
"ID97, CD80+ of IgD-CD27+ memory B cells",245
"ID96, CD38+ of IgD-CD27+ memory B cells*",245
"ID95, CD23+ of IgD-CD27+ memory B cells",245
"ID94, IgD-CD27+ of CD20+ B cells* (IgD-CD27+ memory B)",245
"ID86, IgM-IgD- of CD20+ B cells (IgM-IgD- mature B)",245
"ID85, IgM+IgD+ of CD20+ B cells (IgM+IgD+ mature B)",245
"ID84, IgG+ of CD20+ B cells (IgG+ mature B)",245
"ID83, IgA+ of CD20+ B cells (IgA+ mature B)",245
