Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List
"Singlets/WBC/Lymph/CD3+/CD56,Freq. of,CD3+",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3+/CD38,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3+,Freq. of,Lymph",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3-/NK/CD27,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56/CD86,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+/CD86,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD19/CD86,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD19/CD27/PB/CD86,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD19/CD27/PB,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH/ICOS+,Freq. of,TH",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD8/CXCR5,Freq. of,CD8",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/DR,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/ICOS+,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD8/DR,Freq. of,CD8",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD8/ICOS+,Freq. of,CD8",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TFH/2/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1,Freq. of,TFH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17,Freq. of,TFH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TFH/17,Freq. of,TFH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TFH/17/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TFH/17/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TFH/2,Freq. of,TFH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TFH/2/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD8/CXCR3,Freq. of,CD8",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH/17/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17,Freq. of,TH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH/1/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH/1/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH/17,Freq. of,TH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH/1,Freq. of,TH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH/17/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH/2,Freq. of,TH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH/2/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD4/TH/2/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD19/CD27/CD138/CD86,Freq. of Parent",cells/ul,480,2,77,9,"-7.0, 1.0, 120.0, 28.0, 3.0, 7.0, 0.0, 240.0, -5.0","296, 301"
"Singlets/WBC/Lymph/CD3/CD8/CCR6,Freq. of,CD8",cells/ul,477,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD86-,Freq. of Parent",cells/ul,451,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD86+,Freq. of,CD1c",cells/ul,451,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD40-,Freq. of Parent",cells/ul,451,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD40+,Freq. of,CD1c",cells/ul,451,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2,Freq. of Parent",cells/ul,451,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2+,Freq. of,CD1c",cells/ul,451,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c,Freq. of,WBC",cells/ul,451,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301"
(TNF-a) minus (TNF-a Ki67 positive),cells,424,1,14,11,"1.0, 10.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 0.0",224
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-/IFNg/Ki-67;Count,cells,424,1,14,11,"1.0, 10.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 0.0",224
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-/IFNg;Count,cells,424,1,14,11,"1.0, 10.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 0.0",224
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-/IL-2/Ki-67;Count,cells,424,1,14,11,"1.0, 10.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 0.0",224
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-/IL-2;Count,cells,424,1,14,11,"1.0, 10.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 0.0",224
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-/Ki-67;Count,cells,424,1,14,11,"1.0, 10.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 0.0",224
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-/TNFa/Ki-67;Count,cells,424,1,14,11,"1.0, 10.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 0.0",224
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-/TNFa;Count,cells,424,1,14,11,"1.0, 10.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 0.0",224
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-;Count,cells,424,1,14,11,"1.0, 10.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 0.0",224
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-;Count,cells,424,1,14,11,"1.0, 10.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 0.0",224
(IFN-g) minus (IFN-g Ki67 positive),cells,424,1,14,11,"1.0, 10.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 0.0",224
(TNF-a)  minus (TNF-a  Ki67 positive),cells,424,1,14,11,"1.0, 10.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 0.0",224
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, IFNg-, IL-17+",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD56+, Granzyme B+, IFNg+",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, Granzyme B+, TNFa+",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, Granzyme B+, TNFa-",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, Granzyme B-, TNFa+",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
