Generic_Feature,144,167,180,296,301,314,364,369,372,376,387,522,645
Myeloid DCs type 1 (mDC1),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+",None,"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+,Freq. of,sWBC","Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c,Freq. of,WBC","Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c,Freq. of,WBC",None,"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+","Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+","Lin1-, HLA-DR+, BDCA2-, CD11c+, CD1c+","Lin1-, HLA-DR+, BDCA2-, CD11c+, CD1c+","Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+",None,"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+"
Myeloid DCs type 2 (mDC2),"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-",None,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+,Freq. of,sWBC","Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3,Freq. of,WBC","Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3,Freq. of,WBC",None,"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-","Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-","Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+","Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+","Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-",None,"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-"
NK cells,None,None,"Lymp/CD3-/CD56br,Freq. of,Lymp","Singlets/WBC/Lymph/CD3-/NK,Freq. of,Lymph","Singlets/WBC/Lymph/CD3-/NK,Freq. of,Lymph",None,None,None,None,None,None,None,None
NKT-like cells,None,None,None,"Singlets/WBC/Lymph/CD3+/CD56,Freq. of,CD3+","Singlets/WBC/Lymph/CD3+/CD56,Freq. of,CD3+",Viable/Singlets/Lymphs/CD3+/CD3+ CD56+,None,None,None,None,None,None,None
Naive B cells,"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27-,, IgD+,Freq. of,Q2: CD19+, CD20+",None,"sing/WBC/CD19+SCC/CD19+/nQ1: CD27-,, IgD+,Freq. of,CD19+",None,None,None,"CD19+, CD3-, CD14-, CD27-, IgD+","CD19+, CD3-, CD14-, CD27-, IgD+","CD19+, CD3-, CD14-, CD27-, IgD+","CD19+, CD3-, CD14-, CD27-, IgD+","Singlet/WBC/Lymph/CD19/CD27-, IgD+","Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27-,, IgD+,Freq. of,Q2: CD19+, CD20+","CD19+, CD3-, CD14-, CD27-, IgD+"
Naive CD4+ T cells,"CD3+, CD4+, CCR7+, CD45RA+",None,"CD45+/CD3+/CD4/Naive,Freq. of,CD4",None,None,"Viable/Singlets/Lymphs/CD3+/CD4+/Q2: CD45RA+, CD27+",None,None,None,None,None,None,None
Naive CD8+ T cells,"CD3+, CD8+, CCR7+, CD45RA+",None,"sing/CD45+/CD3+/CD8/Naive,Freq. of,CD8",None,None,None,None,None,None,None,None,None,None
Non-classical Monocytes,SLAN+,None,"WBC/2-WBC/lymono/monos/CD14dimCD16+,Freq. of,monos","Singlets/WBC/mono/CD3-CD19-/mo2/mo3/Q1: CD14,, CD16+,Freq. of,mo3","Singlets/WBC/mono/CD3-CD19-/mo2/mo3/Q1: CD14,, CD16+,Freq. of,mo3",None,SLAN+,SLAN+,SLAN+,SLAN+,Singlet/WBC/Mono/SLAN+,None,SLAN+
Plasmablasts / Plasma cells,Sum of Plasma cells and Plasmablast,None,"sing/WBC/CD19+SCC/CD19+/nQ3: CD19+,, CD20-,Freq. of,CD19+","Singlets/WBC/Lymph/CD19/CD27/PB,Freq. of,CD19","Singlets/WBC/Lymph/CD19/CD27/PB,Freq. of,CD19",None,"CD19+, CD3-, CD14-, CD20-","CD19+, CD3-, CD14-, CD20-","CD19+, CD3-, CD14-, CD20-","CD19+, CD3-, CD14-, CD20-","Singlet/WBC/Lymph/CD19/CD19+, CD20-",Sum of Plasma cells and Plasmablast,"CD19+, CD3-, CD14-, CD20-"
Regulatory T cells (CD4+ Treg),None,None,"ly/CD3+/CD4+/CD25+,Freq. of,CD4+",None,None,None,None,None,None,None,None,None,None
T follicular helper (Tfh) cells,"CD3+, CD4+, CXCR5+, CD45RA-",None,"CD45+/CD3+/CD4/TFH,Freq. of,CD4","Singlets/WBC/Lymph/CD3/CD4/TFH,Freq. of,CD4","Singlets/WBC/Lymph/CD3/CD4/TFH,Freq. of,CD4",None,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-","CD3+, CD4+, CD8-, CXCR5+, CD45RA-","CD3+, CD4+, CD8-, CXCR5+, CD45RA-","CD3+, CD4+, CD8-, CXCR5+, CD45RA-","Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-",None,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-"
TEMRA CD4+ T cells,"CD3+, CD4+, CCR7-, CD45RA+",None,"ly/CD3+/CD4+/Q11: CD45RA+,, CCR7,Freq. of,CD4+",None,None,"Viable/Singlets/Lymphs/CD3+/CD4+/Q3: CD45RA+, CD27D",None,None,None,None,None,None,None
TEMRA CD8+ T cells,"CD3+, CD8+, CCR7-, CD45RA+",None,"ly/CD3+/CD8+/Q11: CD45RA+,, CCR7,Freq. of,CD8+",None,None,"Viable/Singlets/Lymphs/CD3+/CD8+/Q3: CD45RA+, CD27D",None,None,None,None,None,None,None
Total / Baseline pDCs,"Lin1-, HLA-DR+, BDCA2+, CD11c-",None,"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+,Freq. of,sWBC","Singlets/WBC/Lymph/Lin1-DR+/pDC,Freq. of,WBC","Singlets/WBC/Lymph/Lin1-DR+/pDC,Freq. of,WBC",None,"Lin1-, HLA-DR+, BDCA2+, CD11c-","Lin1-, HLA-DR+, BDCA2+, CD11c-","Lin1-, HLA-DR+, BDCA2+, CD11c-","Lin1-, HLA-DR+, BDCA2+, CD11c-","Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-",None,"Lin1-, HLA-DR+, BDCA2+, CD11c-"
Total Intermediate Monocytes,"CD14+, HLA-DR+, CD16+",None,"WBC/2-WBC/lymono/monos/CD14+CD16+,Freq. of,monos","Singlets/WBC/mono/CD3-CD19-/mo2/mo3,Freq. of,WBC","Singlets/WBC/mono/CD3-CD19-/mo2/mo3,Freq. of,WBC",None,"CD14+, HLA-DR+, CD16+","CD14+, HLA-DR+, CD16+","CD14+, HLA-DR+, CD16+","CD14+, HLA-DR+, CD16+","Singlet/WBC/Mono/CD14+/HLADR/CD14+, CD16+",None,"CD14+, HLA-DR+, CD16+"
Total T cells,CD3+,None,"CD45+/CD3+,Freq. of,CD45+","Singlets/WBC/Lymph/CD3,Freq. of,Lymph","Singlets/WBC/Lymph/CD3,Freq. of,Lymph",None,CD3+,CD3+,CD3+,CD3+,Singlet/WBC/Lymph/CD3,None,CD3+
Transitional B cells,"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD24+,,CD38+,Freq. of,Q2: CD19+, CD20+",None,"WBC/CD19+SCC/CD19+/n transitional,Freq. of,CD19+",None,None,None,"CD19+, CD3-, CD14-, CD38+, CD24+","CD19+, CD3-, CD14-, CD38+, CD24+","CD19+, CD3-, CD14-, CD38+, CD24+","CD19+, CD3-, CD14-, CD38+, CD24+","Singlet/WBC/Lymph/CD19/CD38+, CD24+","Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD24+,,CD38+,Freq. of,Q2: CD19+, CD20+","CD19+, CD3-, CD14-, CD38+, CD24+"
Unspecified B cells,"Singlet/CD45+/B lym CD19+,Freq. of,CD45+",None,"WBC/CD19+SCC/CD19+,Freq. of,WBC","Singlets/WBC/Lymph/CD19,Freq. of,Lymph","Singlets/WBC/Lymph/CD19,Freq. of,Lymph",None,"CD19+, CD3-, CD14-","CD19+, CD3-, CD14-","CD19+, CD3-, CD14-","CD19+, CD3-, CD14-",Singlet/WBC/Lymph/CD19,"Singlet/CD45+/B lym CD19+,Freq. of,CD45+","CD19+, CD3-, CD14-"
Unswitched Memory B cells,"CD19+, CD3-, CD14-, CD27+",None,"WBC/CD19+SCC/CD19+/nQ2: CD27+,, IgD+,Freq. of,CD19+","Singlets/WBC/Lymph/CD19/CD27,Freq. of,CD19","Singlets/WBC/Lymph/CD19/CD27,Freq. of,CD19",None,"CD19+, CD3-, CD14-, CD27+","CD19+, CD3-, CD14-, CD27+","CD19+, CD3-, CD14-, CD27+","CD19+, CD3-, CD14-, CD27+",Singlet/WBC/Lymph/CD19/CD27+,None,"CD19+, CD3-, CD14-, CD27+"
