Population Definition Reported,count
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD27+, CD28-",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7-, CD27-, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RO+, CXCR5-, CXCR3-, CCR6-, CCR4+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RO+, CXCR5-, CXCR3-, CCR6-",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RO+, CXCR5-, CXCR3+, CCR6-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RO+, CXCR5-, CXCR3-, CCR6+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RO+, CXCR5-",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RO+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RO+, CXCR5-, CXCR3-, CCR6-, CCR4+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RO+, CXCR5-, CXCR3-, CCR6-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RO+, CXCR5-, CXCR3+, CCR6-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RO+, CXCR5-, CXCR3+, CCR6+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RO+, CXCR5-, CXCR3+, CCR6+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RO+, CXCR5-, CXCR3-, CCR6+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RO+, CXCR5+, PD-1+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RO+, CXCR5-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RO+, CXCR5+, PD-1-",401
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO+, CCR4-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CCR4+, CD45RO+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CCR4+, CD45RO-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO+, CD39-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO+, CD39+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO-, CD39+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO+, HLA-DR-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO+, HLA-DR+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO-, HLA-DR+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO+, FoxP3-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO+, FoxP3+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO-, FoxP3+",401
