Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List,Normalized_Definition
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c+, CD141+, CD1c-, CD303-, CD40-, HLA-DR+, Lin1-, mDC2"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c-, CD303+, CD40-, HLA-DR+, Lin1-, pDC"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c+, CD141+, CD1c-, CD303-, CD40+, HLA-DR+, Lin1-, mDC2"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, HLA-DR+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c+, CD141-, CD1c+, CD303-, CD40+, HLA-DR+, Lin1-, mDC1"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c+, CD303-, CD40+, HLA-DR+, Lin1-"
"CD14+, HLA-DR+, CD16+, CD62L+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD14+, CD16+, CD62L+, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, HLA-DR+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c+, CD141-, CD1c+, CD303-, CD40-, HLA-DR+, Lin1-, mDC1"
"CD14+, HLA-DR+, CD16+, CD62L-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD14+, CD16+, CD62L-, HLA-DR+"
"CD3+, CD4+, CD8-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD3+, CD4+, CD8-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, HLA-DR+"
"Singlet/CD45+/B lym CD19+/Q3: CD19+,, CD20-,Freq. of,B lym CD19+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD19+, CD20-, CD45+, lymphocyte, singlet"
Sum of Plasma cells and Plasmablast,cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","plasma_cell, plasmablast"
"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+/CD38+/CD138+,Freq. of,B lym CD27+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD138+, CD19+, CD20-, CD27+, CD38+, CD45+, lymphocyte, singlet"
"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+/CD38+,Freq. of,Q3: CD19+, CD20-",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD19+, CD20-, CD27+, CD38+, CD45+, lymphocyte, singlet"
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27-,, IgD+,Freq. of,Q2: CD19+, CD20+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","B_naive, CD19+, CD20+, CD27-, CD45+, IgD+, lymphocyte, singlet"
"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+,Freq. of,Q3: CD19+, CD20-",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD19+, CD20-, CD27+, CD45+, lymphocyte, singlet"
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27+,, IgD-,Freq. of,Q2: CD19+, CD20+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","B_switched_memory, CD19+, CD20+, CD27+, CD45+, IgD-, lymphocyte, singlet"
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD24+,,CD38+,Freq. of,Q2: CD19+, CD20+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD19+, CD20+, CD24+, CD38+, CD45+, lymphocyte, singlet"
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+,Freq. of,B lym CD19+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD19+, CD20+, CD45+, lymphocyte, singlet"
"Singlet/CD45+,Count",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD45+, singlet"
"Singlet/CD45+/B lym CD19+,Freq. of,CD45+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD19+, CD45+, lymphocyte, singlet"
"CD45+/CD3+/CD4,Freq. of,CD45+",cells/ul,108,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+"
"ly/CD3+/CD8+,Freq. of,ly",cells/ul,102,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, lymphocyte"
"ly/CD3+/CD4+,Freq. of,ly",cells/ul,102,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, lymphocyte"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6+/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD4+, CD45RA-, CXCR5+, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD4+, CD45RA-, CXCR5-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6+/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6+/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD4+, CD45RA-, CXCR5-, ICOS+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD4/ICOS+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD4+, ICOS+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD8,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD8+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD8/CCR6+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD8+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD8/CXCR3+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD8+, CXCR3+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD8/CXCR5+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD8+, CXCR5+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD8/ICOS+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD8+, ICOS+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/ICOS+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD4+, CD45RA-, CXCR5+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD4,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD4+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6+/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27+, IgD-/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"B_switched_memory, CD19+, CD27+, CD86+, IgD-, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD19,ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27+, IgD-",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"B_switched_memory, CD19+, CD27+, IgD-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27+, IgD+/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"B_unswitched_memory, CD19+, CD27+, CD86+, IgD+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27+, IgD+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"B_unswitched_memory, CD19+, CD27+, IgD+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD19/CD27+/CD138+/CD86+,ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD138+, CD19+, CD27+, CD86+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD19+, CD20-/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD20-, CD86+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD19+, CD20-",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD20-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD19+, CD20+/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD20+, CD86+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD19+, CD20+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD20+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27-, IgD+/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"B_naive, CD19+, CD27-, CD86+, IgD+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27-, IgD+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"B_naive, CD19+, CD27-, IgD+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27-, IgD-",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD27-, IgD-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27-, IgD-/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD27-, CD86+, IgD-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD38+, CD20-",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD20-, CD38+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD38+, CD20-/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD20-, CD38+, CD86+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD38+, CD24+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD24+, CD38+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD38+, CD24+/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD24+, CD38+, CD86+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD19/CD86+,ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD86+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD19/CD27+/CD138+,ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD138+, CD19+, CD27+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD19/CD27+,ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD27+, lymphocyte, singlet, WBC"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+,HLA-DR+",ul,72,2,19,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-,HLA-DR+",ul,72,2,19,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372","CD3+, CD4+, CD45RA-, CD8-, CXCR5-, HLA-DR+"
"CD3+, CD8+, CCR7-, CD45RA-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD8+, EM"
"CD3+, CD4+, CXCR5+, CD45RA-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD4+, CD45RA-, CXCR5+"
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3+, CCR6-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+"
"Lin1-, HLA-DR+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"HLA-DR+, Lin1-"
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, ICOS+"
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+"
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+"
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+"
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+"
"CD3+, CD4+, CXCR5+, CD45RA-, ICOS+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD4+, CD45RA-, CXCR5+, ICOS+"
"CD3+, CD8+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD8+"
"CD3+, CD8+, CCR7+, CD45RA-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD8+, CM"
"CD3+, CD8+, CCR7-, CD45RA+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD8+, TEMRA"
"CD3+, CD8+, CCR7+, CD45RA+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD8+, naive"
"CD3+, CD4+, CCR7-, CD45RA+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD4+, TEMRA"
"CD3+, CD4+, CCR7+, CD45RA-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD4+, CM"
"CD14+, HLA-DR+, CX3CR1hi",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD14+, CX3CR1+, HLA-DR+"
"CD3+, CD4+, CCR7-, CD45RA-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD4+, EM"
"CD14+, HLA-DR+, CX3CR1lo",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD14+, CX3CR1+, HLA-DR+"
"CD14+, HLADR+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD14+, HLA-DR+"
"CD14+, SLAN+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD14+, SLAN+"
CD16+ neutrophil,ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD16+, neutro"
"CD3+, CD4+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD4+"
"CD3+, CD4+, CCR7+, CD45RA+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD4+, naive"
"CD45+/CD3+/CD4/ICOS,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q8: CD45RA,, CD4,Freq. of,Q3: BDCA-2+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD303+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q7: CD45RA+,, CD4,Freq. of,Q3: BDCA-2+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD303+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q6: CD45RA+,, CD4+,Freq. of,Q1: BDCA-1+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD1c+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q7: CD45RA+,, CD4,Freq. of,Q1: BDCA-1+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD1c+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q6: CD45RA+,, CD4+,Freq. of,Q3: BDCA-2+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD303+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q5: CD45RA,, CD4+,Freq. of,Q3: BDCA-2+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD303+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/CD2-,Freq. of,Q3: BDCA-2+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD2-, CD303+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/CD2+,Freq. of,Q3: BDCA-2+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD2+, CD303+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+,Freq. of,sWBC",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD303+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q8: CD45RA,, CD4,Freq. of,Q1: BDCA-1+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD1c+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC"
"WBC/CD19+SCC/CD19+/nQ3: CD19+,, CD20,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD19+, CD20+, WBC"
"CD45+/CD3+/CD4/EM,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, EM"
"CD45+/CD3+/CD4/CM,Freq. of,CD4",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, CM"
"CD45+/CD3+,Freq. of,CD45+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+"
"WBC/CD19+SCC/CD19+/nQ1: CD27,, IgD+,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"B_unswitched_memory, CD19+, CD27+, IgD+, WBC"
"WBC/CD19+SCC/CD19+/n transitional,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD19+, n+, transitional+, WBC"
"WBC/CD19+SCC/CD19+/nQ2: CD27+,, IgD+,Freq. of,CD19+",cells/ul,54,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"B_unswitched_memory, CD19+, CD27+, IgD+, WBC"
