Treatment,Tissue,Protection,Mouse_pre,Mouse_peak,Age_prime_peak,Age_challenge_peak,Body_score_peak,Weight_peak,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB
prime,SPL,1.0,C2.2,C3.4,2.0,20.0,0.0,-1.3,-0.8826621044915033,-0.20906711549396226,0.3382374403030457,4.895891103524886,0.43931657451362616,0.46620805712759883,1.0311009605980852,-0.8435834262447204,-0.06729552760375769,0.5050942769812419,-0.8607014172213214,-0.9395730751310593,-0.1595056415470975,0.9494527396942173,-0.4665520614630046,2.2608991594515135,0.36385016733968656,0.47228559446981977,-0.7018270264919675,0.031534381478682046,1.3107359971280057,-0.5734413182971205,-1.0790063576701696,0.3276265744697053,1.3757889941870745,-0.5957417190442494,0.5109098428687089,0.34405256803444423,0.3864550907517295,0.23028937587110285,-0.079241084200666,0.6465446702732474,-1.5890210532710989,-1.378238639950227,2.2084517676023756,
prime,SPL,1.0,C2.2,C3.5,2.0,20.0,1.0,-8.6,0.12619629401886087,-0.061863257962630314,-0.4035945644281623,3.9724149859585687,-0.957673416914147,0.04764829115081252,1.2198723905775175,-0.6437170493949061,-0.7936014262626407,0.528825813558941,-1.2398799623458256,-0.5318429459798906,0.6855789120303954,1.1742859106348331,-0.9186354254393803,1.9667376483238557,0.5038531507860129,-0.7622673870773711,-2.0138144202607835,0.05126950437171492,2.3569406725902975,0.850415911066771,-1.4064277837343755,1.199322990271154,0.9528196978684296,0.3745729343757274,0.803871698097077,1.210222177776066,0.6875724294294299,1.1877187675546002,0.7649093027752393,-1.1931587721936023,-0.07009848994163959,-0.8596364431532026,0.911949741598132,
prime,SPL,1.0,C2.3,C3.2,2.0,20.0,0.0,4.3,-0.5571576968108813,0.22298943312399586,0.28251939580514707,3.897435102168021,-0.6318625541411392,0.27872150176848337,0.838544745380301,-1.5880448773930353,-0.69897177458827,0.6542584229570811,-1.7469264649929899,-2.327778695450001,-0.17428492513497687,0.2995306766520926,-0.09423366790502877,1.0729320049639128,0.1564240684524614,-1.8046172018826316,-0.8623605965442118,0.36222899215843607,1.2370833104960932,-1.2068634265251588,-0.13756252716794093,0.03454300755439678,1.8516457786399012,-1.4652455603746042,0.016071280359573194,0.28244997821496076,-0.43406975529679764,0.40034290035058817,0.5020356711750169,0.6785575129342557,-1.927276392198558,-1.0127429088053617,1.5126387051641863,
prime,SPL,1.0,C2.3,C3.3,2.0,20.0,3.0,-13.6,0.031460516178906967,0.6433593986186341,0.0663939701977968,2.756384737879801,-0.37731069253398924,0.13826933786429876,0.3109031938408821,-1.8897889721094063,-0.9905061620845022,0.5580033375463248,-2.3110389186454325,-2.2050175519869084,0.15699619637019493,-1.4216503146441977,0.10746577491821147,0.47639733532373846,-0.9778387716405423,-1.7000280866542077,-0.4794657672732502,-0.09763694855112187,2.6700296464261593,-1.0759138324777884,0.28961989160505336,0.3210985885874238,1.882237465890236,-2.2276228129842295,1.0275707470720534,-0.3662192795157003,1.4024000811787647,-0.1297403726636975,0.36461097455531954,0.00136823034385262,-1.5265570364066288,0.3042677055920111,1.6807170913648724,
prime,SPL,1.0,C2.3,C3.4,2.0,20.0,0.0,-1.3,-1.0599524310198347,0.4302591961868677,0.8823060110772303,4.061911671532943,1.2482467704614577,0.4774385472146363,0.8350818895865542,-0.37385203705444336,0.3644315110789588,0.39777611219223513,-0.402004525676434,-0.8389896283153764,-0.5785842183734844,0.44369701941461226,0.12699821294728036,0.6111560210788947,0.3419855814218719,-0.16810310605108228,-1.3428987009028142,0.17996010999644999,1.0126307789468378,-1.0358435237028871,-0.0032577659183151723,-0.406343700878956,1.240696051213376,-2.462349517249784,0.060754960030625756,-0.5191688617932338,0.0908905294360356,-0.5012244964941673,-0.40361007823835715,1.4618134593564847,-1.4189920528029183,0.06391919719164497,3.1292122900975072,
prime,SPL,1.0,C2.3,C3.5,2.0,20.0,1.0,-8.6,-0.05109403250947038,0.5774630537181996,0.1404740063460221,3.138435553966625,-0.14874322096631556,0.05887878123784981,1.0238533195659867,-0.17398566020462905,-0.361874387579924,0.4215076487699343,-0.7811830708009382,-0.4312594991642078,0.2665003352040084,0.6685301903552281,-0.32508515102909513,0.31699450995123685,0.4819885648681983,-1.4026560875982732,-2.65488609467163,0.19969523288948296,2.0588354544091296,0.3880137056610044,-0.3306791919825211,0.4653527149224928,0.8177267548947309,-1.4920348638298075,0.3537168152589938,0.34700074794838776,0.3920078681137361,0.45620489518933,0.44054030873754807,-0.3778899831103651,0.0999305105265411,0.5825213939886695,1.832710264093264,
prime,SPL,1.0,C2.4,C3.2,2.0,20.0,0.0,4.3,-0.16743486585779566,-0.2965960217486536,-0.4188576155385198,4.51725431100585,-1.5047398466734732,0.31959324459771,1.8124843118505438,-1.360891251913869,-1.1972045005922003,0.7074599041921562,-2.2509875149515546,-2.2448691816507886,0.23053365241864507,1.5614556925567065,-0.615424912487239,2.525975726621137,-0.26312743661054505,-2.216578113505605,-1.9747874062278377,0.26340483642051615,2.1722207373148157,-0.6181245864624857,-0.9873445596076502,0.7122076923233076,2.491458554841725,0.4160703386834896,0.3067728312486932,1.0630145068739876,-0.2606152427539239,0.9524114233116497,1.3322844551220747,-0.15980025392905164,-1.3597442561042,-2.4133585641625226,0.08349903642184864,
prime,SPL,1.0,C2.4,C3.3,2.0,20.0,3.0,-13.6,0.42118334713199285,0.12377394374598472,-0.6349830411458699,3.3762039467176295,-1.2501879850663231,0.17914108069352525,1.284842760311125,-1.66263534663024,-1.4887388880884325,0.6112048187813999,-2.8150999686039975,-2.122108038187696,0.5618147739238167,-0.15972529873958408,-0.413725469663999,1.9294410569809624,-1.3973902767035489,-2.111988998277181,-1.591892576956876,-0.19646110428904165,3.605167073244882,-0.4871749924151154,-0.5601621408346559,0.9987632733563344,2.5220502420920603,-0.34630691392613605,1.3182722979611736,0.4143452491433265,1.5758545937216384,0.4223281502973641,1.1948597585023775,-0.8369895365194552,-0.9590249003122708,-1.09634794976515,0.25157742262253474,
prime,SPL,1.0,C2.4,C3.4,2.0,20.0,0.0,-1.3,-0.6702296000667489,-0.0893262586857817,0.18092899973356324,4.681730880370772,0.37536947792912384,0.5183102900438628,1.8090214560567968,-0.146698411575277,-0.13380121492497138,0.4509775934273101,-0.906065575634999,-0.7560801145161642,-0.17376564081986268,1.705622035319226,-0.39419303163493,2.0641997427361187,-0.07756592364113453,-0.5800640176740557,-2.45532551058644,0.08113595425853005,1.9477682057655603,-0.447104683640214,-0.8530397983580246,0.27132098388995474,1.8805088274151998,-0.5810336181916905,0.35145651091974567,0.26139566686579285,0.26434504197890946,0.0508440264668942,0.42663870570870044,0.623455692493177,-0.8514599167085602,-1.3366964581655159,1.7000726213551696,
prime,SPL,1.0,C2.4,C3.5,2.0,20.0,1.0,-8.6,0.33862879844361554,0.05787759884555011,-0.5609030049976444,3.758254762804454,-1.0216205134986491,0.09975052406707643,1.997792886036229,0.053167965274537404,-0.8601071135838545,0.47470913000500925,-1.2852441207595031,-0.34834998536499534,0.6713189127576301,1.9304552062598417,-0.8462763956113055,1.7700382316084609,0.06243705980519192,-1.8146169992212462,-3.767312904355256,0.10087107715156292,2.993972881227852,0.9767525457236775,-1.1804612244222306,1.1430173996914035,1.4575395310965547,0.3892810352282863,0.6444183661481139,1.1275652766074147,0.5654623806566099,1.0082734181503914,1.270789092684606,-1.2162477499736726,0.667462646620899,-0.8180942613684916,0.4035705953509262,
prime.boost,SPL,1.0,C3.1,C5.1,2.0,20.0,0.0,-0.9,-0.10520710651301908,0.6349310120356405,0.6064385967678376,5.122224231516638,0.7650196032087793,0.7174291812477785,2.3356012674935926,1.1103261975784289,0.3457947800215115,0.18986808698062957,0.22678551060517704,0.21225318893362477,-1.1518293395945134,1.5413533418461935,1.9038827688627946,3.4415409888194777,-0.033779871106521954,1.6371842381210655,-0.14807126042101268,-0.053762679824688984,1.9278938622088262,0.252893022230753,-2.3279954517708825,1.0532176170067202,0.5448798272881548,-1.361751637582851,0.9290567485201026,-0.0834049248271643,1.5353958682233577,-0.5789780279598069,1.328584868600568,-1.1289900653169465,-0.7706448660175457,-0.6678535024763395,0.20721303087975887,
prime.boost,SPL,1.0,C3.1,C5.2,2.0,20.0,0.0,1.3,-0.03008462422292552,0.20102998795619428,0.4167721468245398,5.7057928116945975,-0.3677520266883189,1.4221826796696404,2.464446860584188,1.9104329871512171,0.2604059529172603,0.18506563365806297,0.22489935359831123,1.6054436025619867,-0.9305819243940333,1.0303632484570455,0.529253749230592,3.8879921101307575,-0.12558134993586134,1.8245915830958608,1.5871865945113883,-0.1205920034942066,1.7766440852174585,1.7463055532663774,-0.7651601587941902,1.28824256712546,1.0303049646637594,-0.10298225538961397,0.6961652232772522,0.3406672164981721,1.1425533936891263,0.10115053208484336,1.311237067920451,-1.5000188211578123,0.17975473656276464,-0.17030197944120404,0.3087909998050198,
prime.boost,SPL,1.0,C3.1,C5.5,2.0,20.0,0.0,-3.1,-0.8465431093510803,1.1281896862950225,0.6282969074175189,4.568971324476015,1.1341877288634619,1.0393982015437548,1.9626230550531985,1.3345350389667612,0.6365907117815424,0.09308799708919994,0.3814486616578649,0.6041654394173863,-1.660572376732509,-0.08816429133892686,1.4016524235776016,5.1298883362323515,0.1083848920752394,1.9236175142020373,2.809674653256445,-0.05340735489527433,3.1963027237322783,-0.2193184807841399,-2.8197395852078335,0.20654462696704023,0.33633756451624197,-1.2237726456492997,0.39037526976291304,-0.1598313686800927,0.8010959101512913,-0.3619901887265239,-0.4739832029309116,1.6986791286515972,2.6920812149438396,-1.0728193903172887,1.9736688301854184,
prime.boost,SPL,1.0,C3.2,C5.1,2.0,20.0,0.0,-0.9,-0.3683689315723469,0.48198211331244256,0.05212842515630093,3.0389659457827487,0.008242979380125724,-0.21699056360364996,1.563308485067091,0.6090093070261753,-0.11225558777065356,0.3777720151129852,-0.22987975946932537,-0.5720297263649385,-0.2561183024463895,1.7984927203651366,1.5227092026514712,2.6332424905748057,0.7892764325707099,-0.5031199102203769,-1.6081346012790703,0.3899042787964813,1.0119169136897719,-0.21739596879019318,-2.0761155471234174,0.7377928034403347,0.8704507916205467,-1.5606838935876126,-0.04992908101878295,-0.28269158602968936,0.12461533655584356,-0.8390599326628172,0.649063465739193,0.6270889602631017,-1.5057579833684769,-1.0525074502897027,0.3948545784566054,
prime.boost,SPL,1.0,C3.2,C5.2,2.0,20.0,0.0,1.3,-0.2932464492822534,0.04808108923299614,-0.13753802478699714,3.622534525960708,-1.1245286505169725,0.48776293481821176,1.6921540781576865,1.4091160965989638,-0.19764441487490472,0.3729695617904187,-0.23176591647619119,0.8211606872634232,-0.034870887245909296,1.2875026269759886,0.1480801830192686,3.0796936118860856,0.6974749537413706,-0.31571256524558167,0.12712325365333096,0.32307495512696355,0.8606671366984041,1.2760165622454311,-0.5132802541467248,0.9728177535590743,1.3558759289961513,-0.301914511394376,-0.2828206062616333,0.1413805552956471,-0.26822713797838815,-0.15893137261816687,0.6317156650590764,0.25606020442223565,-0.5553583807881667,-0.5549559272545672,0.49643254738186615,
