Population Name Reported,count
HLA-DR+ monocyte,60
granulocyte,60
dendritic cell,60
ICOS+ T follicular helper cell type 17,60
CD45RAnCD4p_CD1c_pCD1c,54
CD45RAnCD4n_CD1c_pCD1c,54
CD45RApCD4n_CD1c_pCD1c,54
CD45RApCD4p_CD1c_pCD1c,54
CD56diCD16p_pLY,54
CD56nCD16p_pLY,54
CD45RAnCD4p_BDCA2_pBDCA2,54
CTLA4p_pCD8,54
CD25p_pCD8,54
FoxP3p_pCD4,54
CTLA4p_pCD4,54
CD25p_pCD4,54
QC3_CD8_pLY,54
CD56diCD16n_pLY,54
CD56br_pLY,54
CD62Lp_pmatureNeu,54
CD62Ln_pmatureNeu,54
CD123_pWBC,54
CD11c_pWBC,54
CD45RAnCD4n_BDCA2_pBDCA2,54
CD45RApCD4n_BDCA2_pBDCA2,54
CD45RApCD4p_BDCA2_pBDCA2,54
FoxP3p_pCD8,54
QC4_CD4_pLY,48
Bcl2_pCD4,48
CD38bri_pCD4,48
CD127loCD25p,48
DR_pCD4,48
Ki67nBcl2bri_pCD4,48
Ki67_pCD4,48
CD2pCD86n_BDCA2,48
CD19hi,48
Naive_CD8,48
CM_CD8,48
EM_CD8,48
TEFF_CD8,48
CD2p_BDCA3,48
CD2n_BDCA3,48
CD2nCD86p_BDCA3,48
CD2pCD86p_BDCA3,48
CD2pCD86n_BDCA3,48
CD2nCD86n_BDCA3,48
CD2nCD86p_BDCA2,48
CD2pCD86p_BDCA2,48
CD2nCD86n_BDCA2,48
QC_CD4,48
CD2nCD86p_CD1c,48
CD2pCD86p_CD1c,48
CD2pCD86n_CD1c,48
CD2nCD86n_CD1c,48
Slan,48
CD11bp_Slan,48
CD11bn_Slan,48
CD2p_Slan,48
CD2n_Slan,48
CD86p_Slan,48
CD86n_Slan,48
CD14p_Slan,48
CD14n_Slan,48
GranB_pCD4,48
DR_pCD8,48
DRnCD38p_pCD4,48
GranB_pCD8,48
QC14_TEFF_pCD8,48
QC12_EM_pCD8,48
QC11_Naive_pCD8,48
QC10_CM_pCD8,48
Ki67nBcl2dim_pCD8,48
Ki67pBcl2dim_pCD8,48
DRpCD38p_pCD4,48
Ki67nBcl2bri_pCD8,48
DRnCD38n_pCD8,48
DRpCD38n_pCD8,48
DRpCD38p_pCD8,48
DRnCD38p_pCD8,48
Ki67_pCD8,48
Ki67pBcl2bri_pCD8,48
CD38bri_pCD8,48
Ki67nBcl2dim_pCD4,48
Bcl2_pCD8,48
DRpCD38n_pCD4,48
DRnCD38n_pCD4,48
Ki67pBcl2bri_pCD4,48
Ki67pBcl2dim_pCD4,48
QC5_CM_pCD4,48
QC6_Naive_pCD4,48
QC7_EM_pCD4,48
QC8_TEFF_pCD4,48
QC9_CD8_pLY,48
HLADR+ IgD- Memory B Cell,39
HLADR+ CD138+ B Cell,39
HLADR+ CD20- B Cell,39
HLADR+ CD20+ B Cell,39
HLADR+ CD27+ B Cell,39
HLADR+ IgD+ Memory B Cell,39
HLADR+ IgD- CD27- B cell,39
HLADR+ Naive B Cell,39
HLADR+ plasmablast,39
HLADR+ transitional B Cell,39
BDCA3_pmDC,15
CD1c_pmDC,15
Mo_SLAN_abs,14
QCGran_abs,14
eos_abs,14
neu_abs,14
pDC_abs,14
CD1c_CD86p_abs,14
pDC_CD2n_abs,14
pDC_CD2p_abs,14
BDCA3_CD86n_abs,14
BDCA3_CD2n_abs,14
BDCA3_abs,14
CD1c_CD86n_abs,14
CD16p_SLANn_abs,14
CD1c_CD2p_abs,14
CD1c_CD2n_abs,14
CD1c_abs,14
mDC_CD86n_abs,14
mDC_CD86p_abs,14
mDC_CD2p_abs,14
mDC_CD2n_abs,14
mDC_abs,14
pDC_CD86n_abs,14
pDC_CD86p_abs,14
CD16n_SLANn_abs,14
CD16p_HLADRn_abs,14
CD16p_SLANp_abs,14
CD16n_CX3CR1n_abs,14
BDCA3_CD86p_abs,14
Mo_abs,14
Mo_CD40p_abs,14
CD14nCD16p_abs,14
CD14pCD16p_abs,14
CD14pCD16n_abs,14
CD14nCD16n_abs,14
CD16n_CX3CR1p_abs,14
CD16p_CX3CR1p_abs,14
CD16p_CX3CR1n_abs,14
CD16n_CD11bp_abs,14
CD16n_SLANp_abs,14
CD16p_CD11bp_abs,14
CD16p_CD11bn_abs,14
CD16n_CD11bn_abs,14
CD16n_HLADRp_abs,14
CD16p_HLADRp_abs,14
CD16n_HLADRn_abs,14
CD16n_CD86p_abs,14
CD16p_CD86p_abs,14
CD16p_CD86n_abs,14
CD16n_CD86n_abs,14
BDCA3_CD2p_abs,14
