Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List,Normalized_Definition,Intermediate_Population
"CD19+, CD3-, CD14-, CD27+, IgD-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","B_switched_memory, CD14-, CD19+, CD27+, CD3-, IgD-",Memory B cells
"CD19+, CD3-, CD14-, CD20-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD20-, CD3-, CD86+",B cells (Other)
"CD19+, CD3-, CD14-, CD27-, IgD+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","B_naive, CD14-, CD19+, CD27-, CD3-, IgD+",Naive B cells
"CD19+, CD3-, CD14-, CD20-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD20-, CD3-",B cells (Other)
"CD19+, CD3-, CD14-, CD20+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD20+, CD3-, CD86+",B cells (Other)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD141+, CD1c-, CD303-, CD86-, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"CD19+, CD3-, CD14-, CD38+, CD20-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD20-, CD3-, CD38+",B cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+",CD4+ T cells (Other)
"CD19+, CD3-, CD14-, CD27+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD27+, CD3-",B cells (Other)
"CD19+, CD3-, CD14-, CD27-, IgD-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD27-, CD3-, CD86+, IgD-",B cells (Other)
"CD3+, CD4-, CD8+, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD3+, CD4-, CD8+, HLA-DR+",CD8+ T cells (Other)
"CD14+, HLA-DR+, CD16-, CD62L+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD14+, CD16-, CD62L+, HLA-DR+",Classical Monocytes
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c+, CD303-, CD40-, HLA-DR+, Lin1-",Myeloid DCs (Unspecified)
"CD3+, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD3+, HLA-DR+",T cells (Unspecified Subtype)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD3+, CD4+, CD45RA-, CD8-, CXCR5+, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, HLA-DR+",CD4+ T cells (Other)
"CD14+, HLA-DR+, CD16-, CD62L-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD14+, CD16-, CD62L-, HLA-DR+",Classical Monocytes
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c-, CD303+, CD40+, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"CD16+, CD62L- grans",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD16+, CD62L-, gran",Granulocytes
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c+, CD141+, CD1c-, CD303-, CD40-, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c-, CD303+, CD40-, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c+, CD141+, CD1c-, CD303-, CD40+, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, HLA-DR+",CD4+ T cells (Other)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c+, CD141-, CD1c+, CD303-, CD40+, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c+, CD303-, CD40+, HLA-DR+, Lin1-",Myeloid DCs (Unspecified)
"CD14+, HLA-DR+, CD16+, CD62L+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD14+, CD16+, CD62L+, HLA-DR+",Intermediate Monocytes
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, HLA-DR+",CD4+ T cells (Other)
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c+, CD141-, CD1c+, CD303-, CD40-, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"CD14+, HLA-DR+, CD16+, CD62L-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD14+, CD16+, CD62L-, HLA-DR+",Intermediate Monocytes
"CD3+, CD4+, CD8-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD3+, CD4+, CD8-, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"Singlet/CD45+/B lym CD19+/Q3: CD19+,, CD20-,Freq. of,B lym CD19+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD19+, CD20-, CD45+, lymphocyte, singlet",B cells (Other)
Sum of Plasma cells and Plasmablast,cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","plasma_cell, plasmablast",Plasmablasts / Plasma cells
"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+/CD38+/CD138+,Freq. of,B lym CD27+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD138+, CD19+, CD20-, CD27+, CD38+, CD45+, lymphocyte, singlet",B cells (Other)
"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+/CD38+,Freq. of,Q3: CD19+, CD20-",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD19+, CD20-, CD27+, CD38+, CD45+, lymphocyte, singlet",B cells (Other)
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27-,, IgD+,Freq. of,Q2: CD19+, CD20+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","B_naive, CD19+, CD20+, CD27-, CD45+, IgD+, lymphocyte, singlet",Naive B cells
"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+,Freq. of,Q3: CD19+, CD20-",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD19+, CD20-, CD27+, CD45+, lymphocyte, singlet",B cells (Other)
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27+,, IgD-,Freq. of,Q2: CD19+, CD20+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","B_switched_memory, CD19+, CD20+, CD27+, CD45+, IgD-, lymphocyte, singlet",Memory B cells
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD24+,,CD38+,Freq. of,Q2: CD19+, CD20+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD19+, CD20+, CD24+, CD38+, CD45+, lymphocyte, singlet",B cells (Other)
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+,Freq. of,B lym CD19+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD19+, CD20+, CD45+, lymphocyte, singlet",B cells (Other)
"Singlet/CD45+,Count",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD45+, singlet",Leukocytes (Unspecified)
"Singlet/CD45+/B lym CD19+,Freq. of,CD45+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522","CD19+, CD45+, lymphocyte, singlet",B cells (Other)
"CD45+/CD3+/CD4,Freq. of,CD45+",cells/ul,108,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+",CD4+ T cells (Other)
"ly/CD3+/CD8+,Freq. of,ly",cells/ul,102,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, lymphocyte",CD8+ T cells (Other)
"ly/CD3+/CD4+,Freq. of,ly",cells/ul,102,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, lymphocyte",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6+/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD4+, CD45RA-, CXCR5+, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD4+, CD45RA-, CXCR5-, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6+/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6+/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD4+, CD45RA-, CXCR5-, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
Singlet/WBC/Lymph/CD3/CD4/ICOS+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD4+, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
Singlet/WBC/Lymph/CD3/CD8,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD8+, lymphocyte, singlet, WBC",CD8+ T cells (Other)
Singlet/WBC/Lymph/CD3/CD8/CCR6+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD8+, lymphocyte, singlet, WBC",CD8+ T cells (Other)
Singlet/WBC/Lymph/CD3/CD8/CXCR3+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD8+, CXCR3+, lymphocyte, singlet, WBC",CD8+ T cells (Other)
Singlet/WBC/Lymph/CD3/CD8/CXCR5+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD8+, CXCR5+, lymphocyte, singlet, WBC",CD8+ T cells (Other)
Singlet/WBC/Lymph/CD3/CD8/ICOS+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD8+, ICOS+, lymphocyte, singlet, WBC",CD8+ T cells (Other)
Singlet/WBC/Lymph/CD3/ICOS+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, ICOS+, lymphocyte, singlet, WBC",T cells (Unspecified Subtype)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD4+, CD45RA-, CXCR5+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
Singlet/WBC/Lymph/CD3/CD4,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, CD4+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
Singlet/WBC/Lymph/CD3,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD3+, lymphocyte, singlet, WBC",T cells (Unspecified Subtype)
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6+/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlet/WBC/Lymph/CD19/CD27+, IgD-/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"B_switched_memory, CD19+, CD27+, CD86+, IgD-, lymphocyte, singlet, WBC",Memory B cells
Singlet/WBC/Lymph/CD19,ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, lymphocyte, singlet, WBC",B cells (Other)
"Singlet/WBC/Lymph/CD19/CD27+, IgD-",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"B_switched_memory, CD19+, CD27+, IgD-, lymphocyte, singlet, WBC",Memory B cells
"Singlet/WBC/Lymph/CD19/CD27+, IgD+/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"B_unswitched_memory, CD19+, CD27+, CD86+, IgD+, lymphocyte, singlet, WBC",Memory B cells
"Singlet/WBC/Lymph/CD19/CD27+, IgD+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"B_unswitched_memory, CD19+, CD27+, IgD+, lymphocyte, singlet, WBC",Memory B cells
Singlet/WBC/Lymph/CD19/CD27+/CD138+/CD86+,ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD138+, CD19+, CD27+, CD86+, lymphocyte, singlet, WBC",B cells (Other)
"Singlet/WBC/Lymph/CD19/CD19+, CD20-/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD20-, CD86+, lymphocyte, singlet, WBC",B cells (Other)
"Singlet/WBC/Lymph/CD19/CD19+, CD20-",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD20-, lymphocyte, singlet, WBC",B cells (Other)
"Singlet/WBC/Lymph/CD19/CD19+, CD20+/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD20+, CD86+, lymphocyte, singlet, WBC",B cells (Other)
"Singlet/WBC/Lymph/CD19/CD19+, CD20+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD20+, lymphocyte, singlet, WBC",B cells (Other)
"Singlet/WBC/Lymph/CD19/CD27-, IgD+/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"B_naive, CD19+, CD27-, CD86+, IgD+, lymphocyte, singlet, WBC",Naive B cells
"Singlet/WBC/Lymph/CD19/CD27-, IgD+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"B_naive, CD19+, CD27-, IgD+, lymphocyte, singlet, WBC",Naive B cells
"Singlet/WBC/Lymph/CD19/CD27-, IgD-",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD27-, IgD-, lymphocyte, singlet, WBC",B cells (Other)
"Singlet/WBC/Lymph/CD19/CD27-, IgD-/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD27-, CD86+, IgD-, lymphocyte, singlet, WBC",B cells (Other)
"Singlet/WBC/Lymph/CD19/CD38+, CD20-",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD20-, CD38+, lymphocyte, singlet, WBC",B cells (Other)
"Singlet/WBC/Lymph/CD19/CD38+, CD20-/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD20-, CD38+, CD86+, lymphocyte, singlet, WBC",B cells (Other)
"Singlet/WBC/Lymph/CD19/CD38+, CD24+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD24+, CD38+, lymphocyte, singlet, WBC",B cells (Other)
"Singlet/WBC/Lymph/CD19/CD38+, CD24+/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD24+, CD38+, CD86+, lymphocyte, singlet, WBC",B cells (Other)
Singlet/WBC/Lymph/CD19/CD86+,ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD86+, lymphocyte, singlet, WBC",B cells (Other)
Singlet/WBC/Lymph/CD19/CD27+/CD138+,ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD138+, CD19+, CD27+, lymphocyte, singlet, WBC",B cells (Other)
Singlet/WBC/Lymph/CD19/CD27+,ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387,"CD19+, CD27+, lymphocyte, singlet, WBC",B cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+,HLA-DR+",ul,72,2,19,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-,HLA-DR+",ul,72,2,19,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372","CD3+, CD4+, CD45RA-, CD8-, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"CD3+, CD8+, CCR7-, CD45RA-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD8+, EM",Memory CD8+ T cells
"CD3+, CD4+, CXCR5+, CD45RA-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD4+, CD45RA-, CXCR5+",CD4+ T cells (Other)
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3+, CCR6-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+",CD4+ T cells (Other)
"Lin1-, HLA-DR+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"HLA-DR+, Lin1-",Dendritic Cells (Pan-DC)
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, ICOS+",CD4+ T cells (Other)
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+",CD4+ T cells (Other)
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+",CD4+ T cells (Other)
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+",CD4+ T cells (Other)
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+",CD4+ T cells (Other)
"CD3+, CD4+, CXCR5+, CD45RA-, ICOS+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144,"CD3+, CD4+, CD45RA-, CXCR5+, ICOS+",CD4+ T cells (Other)
