Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List
CD3+ AND CD8+ AND small lymphocyte,cells/ml,301,1,44,62,"0.0, 14.0, 294.0, 42.0, 54.0, 68.0, 84.0, 13.0, 285.0, 39.0, 67.0, 81.0, 56.0, 70.0, 279.0, 69.0, 15.0, 43.0, 72.0, 89.0, 295.0, 57.0, 71.0, 85.0, 297.0, 302.0, 78.0, 41.0, 55.0, 83.0, 292.0, 46.0, 62.0, 74.0, 95.0, 63.0, 92.0, 309.0, 82.0, 18.0, 122.0, 59.0, 58.0, 80.0, 47.0, 305.0, 88.0, 91.0, 300.0, 16.0, 293.0, 45.0, 60.0, 90.0, 301.0, 65.0, 79.0, 86.0, 44.0, 35.0, 308.0, 315.0",167
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4-, CD8+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
