Normalized_Definition,Intermediate_Population
"CD3+, CD4+, CD8-",CD4+ T cells (Other)
"CD138+, CD14-, CD19+, CD27+, CD3-",B cells (Other)
"CD3+, CD4+, CD45RA-, CD8-, CXCR5+",CD4+ T cells (Other)
"B_unswitched_memory, CD14-, CD19+, CD27+, CD3-, CD86+, IgD+",Memory B cells
"B_switched_memory, CD14-, CD19+, CD27+, CD3-, IgD-",Memory B cells
"CD14-, CD19+, CD20-, CD3-, CD86+",B cells (Other)
"B_naive, CD14-, CD19+, CD27-, CD3-, IgD+",Naive B cells
"CD14-, CD19+, CD20-, CD3-",B cells (Other)
"CD14-, CD19+, CD20+, CD3-, CD86+",B cells (Other)
"CD11c+, CD141+, CD1c-, CD303-, CD86-, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"CD14-, CD19+, CD20-, CD3-, CD38+",B cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+",CD4+ T cells (Other)
"CD14-, CD19+, CD27+, CD3-",B cells (Other)
"CD14-, CD19+, CD27-, CD3-, CD86+, IgD-",B cells (Other)
"CD3+, CD4-, CD8+, HLA-DR+",CD8+ T cells (Other)
"CD14+, CD16-, CD62L+, HLA-DR+",Unclassified / Potential Error
"CD11c+, CD303-, CD40-, HLA-DR+, Lin1-",Unclassified / Potential Error
"CD3+, HLA-DR+",T cells (Unspecified Subtype)
"CD3+, CD4+, CD45RA-, CD8-, CXCR5+, HLA-DR+",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, HLA-DR+",CD4+ T cells (Other)
"CD14+, CD16-, CD62L-, HLA-DR+",Unclassified / Potential Error
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, HLA-DR+",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"CD11c-, CD303+, CD40+, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"CD16+, CD62L-, gran",Granulocytes
"CD11c+, CD141+, CD1c-, CD303-, CD40-, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"CD11c-, CD303+, CD40-, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"CD11c+, CD141+, CD1c-, CD303-, CD40+, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, HLA-DR+",CD4+ T cells (Other)
"CD11c+, CD141-, CD1c+, CD303-, CD40+, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"CD11c+, CD303-, CD40+, HLA-DR+, Lin1-",Unclassified / Potential Error
"CD14+, CD16+, CD62L+, HLA-DR+",Unclassified / Potential Error
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, HLA-DR+",CD4+ T cells (Other)
"CD11c+, CD141-, CD1c+, CD303-, CD40-, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"CD14+, CD16+, CD62L-, HLA-DR+",Unclassified / Potential Error
"CD3+, CD4+, CD8-, HLA-DR+",CD4+ T cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, HLA-DR+",CD4+ T cells (Other)
"CD19+, CD20-, CD45+, lymphocyte, singlet",B cells (Other)
"plasma_cell, plasmablast",Plasmablasts / Plasma cells
"CD138+, CD19+, CD20-, CD27+, CD38+, CD45+, lymphocyte, singlet",B cells (Other)
"CD19+, CD20-, CD27+, CD38+, CD45+, lymphocyte, singlet",B cells (Other)
"B_naive, CD19+, CD20+, CD27-, CD45+, IgD+, lymphocyte, singlet",Naive B cells
"CD19+, CD20-, CD27+, CD45+, lymphocyte, singlet",B cells (Other)
"B_switched_memory, CD19+, CD20+, CD27+, CD45+, IgD-, lymphocyte, singlet",Memory B cells
"CD19+, CD20+, CD24+, CD38+, CD45+, lymphocyte, singlet",B cells (Other)
"CD19+, CD20+, CD45+, lymphocyte, singlet",B cells (Other)
"CD45+, singlet",Unclassified / Potential Error
"CD19+, CD45+, lymphocyte, singlet",B cells (Other)
"CD3+, CD4+, CD45+",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"CD3+, CD4+, CD45RA-, CXCR5+, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
