Population Definition Reported,count
"CD3+, CD4+, CD8-",303
"CD3+, ICOS+",303
CD16+ granulocyte,303
CD16- granulocyte,303
"CD3+, CD4+, CD8-, ICOS+",303
"CD14+, HLA-DR+, CD16-, SLAN-",303
"CD14+, HLA-DR+, CD16-, SLAN+",303
"CD14+, HLA-DR+, CD16+, CD11b-",303
"CD14+, HLA-DR+, CD16-, CD11b-",303
"CD14+, HLA-DRhi, CD16-",303
"CD14+, HLA-DR+, CD16+, SLAN-",303
"CD14+, HLA-DRlo, CD16+",303
"CD14+, HLA-DRlo, CD16-",303
"CD14+, HLA-DR+, CD16-, CD86+",303
"CD14+, HLA-DR+, CD16+, CD86+",303
"CD14+, HLA-DR+, CD16+, CD86-",303
"CD14+, HLA-DR+, CD16-, CD86-",303
"CD14+, HLA-DRhi CD16+",303
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+",303
"CD14+, HLA-DR+, CD16+, SLAN+",303
CD3+ AND CD4+ AND small lymphocyte,301
CD3+ AND CD8+ AND small lymphocyte,301
"CD19+, CD3-, CD14-, CD38+, CD24+, CD86+",264
"CD19+, CD3-, CD14-, CD27+, IgD-, CD86+",264
"CD19+, CD3-, CD14-, CD86+",264
"CD19+, CD3-, CD14-, CD27+, CD138+, CD86+",264
"CD19+, CD3-, CD14-, CD38+, CD20-, CD86+",264
"CD19+, CD3-, CD14-, CD27-, IgD-, CD86+",264
"CD19+, CD3-, CD14-, CD27-, IgD+, CD86+",264
"CD19+, CD3-, CD14-, CD20-, CD86+",264
"CD19+, CD3-, CD14-, CD20+, CD86+",264
"CD19+, CD3-, CD14-, CD27+, IgD+, CD86+",264
Viable/Singlets/Lymphs/CD3+/CD8+,246
Viable/Singlets/Lymphs/CD3+/CD4+,246
"CD14+, HLA-DR+, CD16+, CD62L+",156
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, HLA-DR+",156
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, HLA-DR+",156
"CD3+, CD4-, CD8+, HLA-DR+",156
"CD14+, HLA-DR+, CD16-, CD62L+",156
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40+",156
"CD14+, HLA-DR+, CD16+, CD62L-",156
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, HLA-DR+",156
"CD14+, HLA-DR+, CD16-, CD62L-",156
"CD16+, CD62L- granulocyte",156
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, HLA-DR+",156
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, HLA-DR+",156
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, HLA-DR+",156
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40-",156
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, HLA-DR+",156
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, HLA-DR+",156
"CD3+, CD4+, CD8-, HLA-DR+",156
"CD3+, HLA-DR+",156
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40+",156
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40+",156
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40-",156
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40+",156
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40-",156
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40-",156
"Singlet/CD45+,Count",116
Sum of Plasma cells and Plasmablast,116
"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+/CD38+/CD138+,Freq. of,B lym CD27+",116
"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+/CD38+,Freq. of,Q3: CD19+, CD20-",116
"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+,Freq. of,Q3: CD19+, CD20-",116
"Singlet/CD45+/B lym CD19+/Q3: CD19+,, CD20-,Freq. of,B lym CD19+",116
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD24+,,CD38+,Freq. of,Q2: CD19+, CD20+",116
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27+,, IgD-,Freq. of,Q2: CD19+, CD20+",116
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27-,, IgD+,Freq. of,Q2: CD19+, CD20+",116
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+,Freq. of,B lym CD19+",116
"Singlet/CD45+/B lym CD19+,Freq. of,CD45+",116
"CD45+/CD3+/CD4,Freq. of,CD45+",108
"ly/CD3+/CD8+,Freq. of,ly",102
"ly/CD3+/CD4+,Freq. of,ly",102
"CD16lo, CD11b+ granulocyte",86
"CD16hi, CD11b+ granulocyte",86
"CD16hi, CD11b- granulocyte",86
"CD16lo, CD11b- granulocyte",86
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, HLA-DR+",84
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, HLA-DR+",84
Singlet/WBC/Lymph/CD3/CD8/CXCR3+,82
Singlet/WBC/Lymph/CD3/CD8,82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6-/ICOS+",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6-",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6+/ICOS+",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6+",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6+/ICOS+",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6+",82
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6-/ICOS+",82
