Population Definition Reported,Normalized_Definition
"Singlets/WBC/Lymph/CD3/CD4/TFH/1/DR,Freq. of Parent","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH1, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17/DR,Freq. of Parent","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH1-17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/17,Freq. of,TFH","CD3+, CD4+, lymphocyte, singlet, TFH17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/17/DR,Freq. of Parent","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/17/ICOS+,Freq. of Parent","CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH17, WBC"
"Singlets/WBC/Lymph/CD3/CD8/CXCR3,Freq. of,CD8","CD3+, CD8+, CXCR3+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19/CD27/CD138/CD86,Freq. of Parent","CD138+, CD19+, CD27+, CD86+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD8/CCR6,Freq. of,CD8","CCR6+, CD3+, CD8+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD40-,Freq. of Parent","CD1c+, CD40-, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD40+,Freq. of,CD1c","CD1c+, CD40+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD86-,Freq. of Parent","CD1c+, CD86-, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD86+,Freq. of,CD1c","CD1c+, CD86+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c,Freq. of,WBC","CD1c+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2,Freq. of Parent","CD1c+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2+,Freq. of,CD1c","CD1c+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
CD3+,CD3+
gran,gran
"Lin1-, HLA-DR+, BDCA2+, CD11c-","BDCA2+, CD11c-, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+","BDCA2-, CD11c+, HLA-DR+, Lin1-"
CD3+ AND CD4+ AND small lymphocyte,"CD3+, CD4+, lymphocyte"
CD3+ AND CD8+ AND small lymphocyte,"CD3+, CD8+, lymphocyte"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86-","BDCA2-, BDCA3-, CD11c+, CD1c+, CD86-, HLA-DR+, Lin1-"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, ICOS+","CD3+, CD4+, CD45RA-, CD8-, CXCR5-, ICOS+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, ICOS+","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, ICOS+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2-","BDCA2-, CD11c+, CD2-, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86-","BDCA2+, CD11c-, CD86-, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2+","BDCA2-, CD11c+, CD2+, HLA-DR+, Lin1-"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, ICOS+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, ICOS+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86+","BDCA2-, BDCA3-, CD11c+, CD1c+, CD86+, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-","BDCA2-, BDCA3+, CD11c+, CD1c-, HLA-DR+, Lin1-"
"CD3+, CD4+, CD8-, ICOS+","CD3+, CD4+, CD8-, ICOS+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2+","BDCA2-, BDCA3+, CD11c+, CD1c-, CD2+, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2-","BDCA2-, BDCA3+, CD11c+, CD1c-, CD2-, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2-","BDCA2-, BDCA3-, CD11c+, CD1c+, CD2-, HLA-DR+, Lin1-"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, ICOS+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2+","BDCA2-, BDCA3-, CD11c+, CD1c+, CD2+, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+","BDCA2-, BDCA3-, CD11c+, CD1c+, HLA-DR+, Lin1-"
